ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_553827_000191,Manager,1973-05-08,2016-02-07,,88213.81,88213.81,88213.81,5,4410.69,2646.41,2205.34
DUMMY_EX_956159_000192,Manager,1967-09-15,2012-06-26,,149806.36,149806.36,149806.36,0,0.0,4494.19,0.0
DUMMY_EX_591920_000193,Director,1990-12-08,2015-08-28,,166108.94,166108.94,166108.94,0,0.0,4983.27,0.0
DUMMY_EX_439060_000194,Manager,1976-07-28,2016-09-22,,151797.95,151797.95,151797.95,5,7589.9,4553.94,3794.95
DUMMY_EX_951673_000195,Director,1984-05-28,2014-06-12,,212996.53,212996.53,212996.53,4,8519.86,6389.9,4259.93
DUMMY_EX_587647_000198,Analyst,1985-11-24,2016-12-24,,77398.46,77398.46,77398.46,2,1547.97,2321.95,773.98
DUMMY_EX_257994_000200,Manager,1984-08-23,2008-11-20,,115217.67,115217.67,115217.67,6,6913.06,3456.53,3456.53
DUMMY_EX_235872_000201,Analyst,1975-02-08,2017-01-15,,100357.02,100357.02,100357.02,6,6021.42,3010.71,3010.71
DUMMY_EX_522598_000203,Analyst,1960-02-19,2012-09-14,,128841.26,128841.26,128841.26,2,2576.83,3865.24,1288.42
DUMMY_EX_113989_000204,Analyst,1972-05-11,2017-08-21,,77426.63,77426.63,77426.63,0,0.0,2322.8,0.0
DUMMY_EX_470848_000206,Manager,1983-12-14,2013-07-10,,114850.56,114850.56,114850.56,1,1148.51,3445.52,574.26
DUMMY_EX_797382_000207,Analyst,1967-12-04,2017-08-29,,103361.45,103361.45,103361.45,1,1033.61,3100.84,516.8
DUMMY_EX_481109_000208,Manager,1962-10-19,2019-09-10,,154923.6,154923.6,154923.6,6,9295.42,4647.71,4647.71
DUMMY_EX_297967_000209,Manager,1979-07-14,2017-01-14,,101891.77,101891.77,101891.77,0,0.0,3056.75,0.0
DUMMY_EX_312738_000211,Analyst,1970-08-15,2012-12-19,,72412.2,72412.2,72412.2,5,3620.61,2172.37,1810.3
DUMMY_EX_614016_000212,Analyst,1975-07-22,2013-01-06,,74629.56,74629.56,74629.56,4,2985.18,2238.89,1492.59
DUMMY_EX_348454_000213,Analyst,1965-03-09,2009-11-06,,72694.22,72694.22,72694.22,9,6542.48,2180.83,2180.82
DUMMY_EX_936337_000215,Analyst,1977-10-21,2011-08-26,,54447.6,54447.6,54447.6,6,3266.86,1633.43,1633.43
DUMMY_EX_887545_000217,Analyst,1979-10-15,2019-09-14,,88560.7,88560.7,88560.7,5,4428.04,2656.82,2214.02
DUMMY_EX_219487_000218,Analyst,1967-07-11,2006-02-08,,90988.7,90988.7,90988.7,8,7279.1,2729.66,2729.66
DUMMY_EX_655678_000219,Analyst,1985-08-28,2011-05-12,,74038.55,74038.55,74038.55,2,1480.77,2221.16,740.38
DUMMY_EX_211313_000220,Director,1989-11-06,2012-07-12,,168232.06,168232.06,168232.06,4,6729.28,5046.96,3364.64
DUMMY_EX_241659_000221,Analyst,1977-06-11,2016-07-25,,68571.93,68571.93,68571.93,10,6857.19,2057.16,2057.16
DUMMY_EX_741906_000222,Analyst,1980-10-06,2016-03-08,,70989.37,70989.37,70989.37,0,0.0,2129.68,0.0
DUMMY_EX_447438_000223,Analyst,1996-08-04,2019-09-24,,55270.03,55270.03,55270.03,5,2763.5,1658.1,1381.75
DUMMY_EX_756178_000224,Manager,1963-11-24,2020-07-13,,139634.55,139634.55,139634.55,5,6981.73,4189.04,3490.86
DUMMY_EX_522574_000225,Analyst,1984-09-23,2013-09-25,,75090.0,75090.0,75090.0,3,2252.7,2252.7,1126.35
DUMMY_EX_495067_000227,Director,1985-06-11,2013-12-18,,227913.13,227913.13,227913.13,6,13674.79,6837.39,6837.4
DUMMY_EX_232017_000228,Analyst,1979-06-06,2014-07-07,,77265.52,77265.52,77265.52,4,3090.62,2317.97,1545.31
DUMMY_EX_160595_000230,Director,1982-12-20,2009-09-28,,260221.81,260221.81,260221.81,3,7806.65,7806.65,3903.32
DUMMY_EX_784051_000231,Director,1969-09-19,2012-04-16,,405164.35,405164.35,305000.0,5,20258.22,12154.93,10129.11
DUMMY_EX_299575_000233,Analyst,1974-09-27,2015-06-26,,78312.33,78312.33,78312.33,5,3915.62,2349.37,1957.81
DUMMY_EX_566306_000234,Analyst,1983-06-18,2010-01-04,,71802.02,71802.02,71802.02,3,2154.06,2154.06,1077.03
DUMMY_EX_367610_000235,Manager,1985-03-08,2009-11-05,,129040.99,129040.99,129040.99,7,9032.87,3871.23,3871.23
DUMMY_EX_443167_000237,Analyst,1981-01-25,2014-01-26,,60613.5,60613.5,60613.5,4,2424.54,1818.4,1212.27
DUMMY_EX_159349_000238,Analyst,1984-03-12,2019-11-28,,86653.21,86653.21,86653.21,6,5199.19,2599.6,2599.59
DUMMY_EX_238376_000239,Director,1987-04-24,2015-01-20,,314256.19,314256.19,305000.0,15,20500.0,9427.69,9427.68
DUMMY_EX_746000_000240,Manager,1966-09-16,2014-09-09,,166306.47,166306.47,166306.47,0,0.0,4989.19,0.0
DUMMY_EX_313038_000243,Analyst,1959-11-19,2018-10-18,,79642.75,79642.75,79642.75,8,6371.42,2389.28,2389.28
DUMMY_EX_286122_000244,Director,1976-10-22,2014-04-15,,525999.38,525999.38,305000.0,6,20500.0,15779.98,10250.0
DUMMY_EX_943128_000245,Analyst,1992-05-23,2018-03-16,,93858.01,93858.01,93858.01,0,0.0,2815.74,0.0
DUMMY_EX_348514_000247,Manager,1981-02-28,2019-06-12,,139353.66,139353.66,139353.66,10,13935.37,4180.61,4180.61
DUMMY_EX_561134_000249,Director,1984-04-03,2012-07-02,,259571.42,259571.42,259571.42,10,20500.0,7787.14,7787.14
DUMMY_EX_614835_000250,Analyst,1976-04-14,2014-09-24,,68906.56,68906.56,68906.56,8,5512.52,2067.2,2067.2
DUMMY_EX_348394_000251,Analyst,1968-06-09,2016-01-13,,77880.78,77880.78,77880.78,9,7009.27,2336.42,2336.43
DUMMY_EX_956376_000252,Analyst,1975-04-21,2007-10-07,,108541.83,108541.83,108541.83,6,6512.51,3256.25,3256.26
DUMMY_EX_947961_000257,Director,1987-04-19,2012-01-30,,247690.12,247690.12,247690.12,2,4953.8,7430.7,2476.9
