employee_ssn,employee_role,employee_birth_date,employee_hire_date,employee_termination_date,employee_gross_compensation,employee_plan_year_compensation,employee_capped_compensation,employee_deferral_rate,employee_contribution,employer_core_contribution,employer_match_contribution,eligibility_entry_date,is_eligible,is_participating
DUMMY_NH_878946_000089,Staff,1975-07-03,2024-04-11,,62157.98,62157.98,62157.98,3,24000.0,0.0,1864.7394,2024-04-11,True,True
DUMMY_NH_812323_000090,Manager,1987-02-04,2024-01-18,,96089.2,96089.2,96089.2,5,24000.0,0.0,2882.676,2024-01-18,True,True
DUMMY_NH_190328_000091,Staff,2001-07-26,2024-10-22,,33423.68,33423.68,33423.68,2,24000.0,0.0,1002.7103999999999,2024-10-22,True,True
DUMMY_NH_410295_000092,Staff,1974-08-24,2024-01-18,,47609.33,47609.33,47609.33,3,24000.0,0.0,1428.2799,2024-01-18,True,True
DUMMY_NH_459726_000093,Staff,1971-11-27,2024-06-16,,57673.74,57673.74,57673.74,3,24000.0,0.0,1730.2122,2024-06-16,True,True
DUMMY_NH_826230_000094,Staff,1990-06-06,2024-05-04,,36642.38,36642.38,36642.38,3,24000.0,0.0,1099.2713999999999,2024-05-04,True,True
DUMMY_NH_791910_000095,Staff,2000-11-13,2024-12-11,2024-12-20,38557.44,38557.44,38557.44,5,24000.0,0.0,0.0,2024-12-11,False,True
DUMMY_NH_816383_000096,Staff,1975-03-28,2024-11-20,,56136.67,56136.67,56136.67,3,24000.0,0.0,1684.1000999999999,2024-11-20,True,True
DUMMY_NH_164734_000097,Staff,1992-01-28,2024-05-25,,74831.86,74831.86,74831.86,3,24000.0,0.0,2244.9557999999997,2024-05-25,True,True
DUMMY_NH_802092_000098,Staff,1977-11-04,2024-07-31,,61435.56,61435.56,61435.56,3,24000.0,0.0,1843.0667999999998,2024-07-31,True,True
DUMMY_NH_951020_000099,Staff,1986-12-28,2024-03-27,,55579.93,55579.93,55579.93,3,24000.0,0.0,1667.3979,2024-03-27,True,True
DUMMY_NH_542831_000100,Staff,1990-01-18,2024-11-19,2024-12-09,37084.17,37084.17,37084.17,6,24000.0,0.0,0.0,2024-11-19,False,True
DUMMY_NH_288093_000101,Executive,1982-03-03,2024-01-03,,265097.14,265097.14,265097.14,4,24000.0,0.0,7952.9142,2024-01-03,True,True
DUMMY_NH_197785_000102,Manager,1983-11-26,2024-06-18,,107947.73,107947.73,107947.73,3,24000.0,0.0,3238.4318999999996,2024-06-18,True,True
DUMMY_NH_606637_000103,Executive,1987-08-24,2024-03-28,,161631.2,161631.2,161631.2,3,24000.0,0.0,4848.936000000001,2024-03-28,True,True
DUMMY_NH_375226_000104,Staff,1961-12-25,2024-04-06,,63435.39,63435.39,63435.39,3,24000.0,0.0,1903.0617,2024-04-06,True,True
DUMMY_NH_613623_000105,Staff,1981-08-04,2024-09-06,,45182.51,45182.51,45182.51,1,24000.0,0.0,1355.4753,2024-09-06,True,True
DUMMY_NH_941853_000106,Manager,2000-12-14,2024-06-18,2024-11-23,100770.48,100770.48,100770.48,3,24000.0,0.0,0.0,2024-06-18,False,True
DUMMY_NH_769534_000107,Manager,1979-02-06,2024-03-14,,112948.24,112948.24,112948.24,10,24000.0,0.0,3388.4472,2024-03-14,True,True
DUMMY_NH_807271_000108,Staff,1985-08-14,2024-05-29,,30000.0,30000.0,30000.0,3,24000.0,0.0,900.0,2024-05-29,True,True
DUMMY_NH_751410_000109,Staff,1992-03-08,2024-05-08,,44493.97,44493.97,44493.97,3,24000.0,0.0,1334.8191,2024-05-08,True,True
DUMMY_NH_542190_000110,Staff,1991-05-16,2024-08-13,,48790.14,48790.14,48790.14,6,24000.0,0.0,1463.7042,2024-08-13,True,True
DUMMY_NH_490314_000111,Staff,1982-10-15,2024-09-03,,47840.97,47840.97,47840.97,3,24000.0,0.0,1435.2291,2024-09-03,True,True
DUMMY_NH_943940_000112,Staff,1981-02-15,2024-03-17,,46125.1,46125.1,46125.1,3,24000.0,0.0,1383.753,2024-03-17,True,True
DUMMY_NH_938926_000113,Staff,2000-03-13,2024-10-28,2024-11-18,44414.21,44414.21,44414.21,0,0.0,0.0,0.0,2024-10-28,False,False
DUMMY_NH_417996_000114,Staff,1999-02-27,2024-11-08,2024-12-03,55776.11,55776.11,55776.11,3,24000.0,0.0,0.0,2024-11-08,False,True
DUMMY_NH_583659_000115,Staff,1988-06-15,2024-05-20,,53601.93,53601.93,53601.93,5,24000.0,0.0,1608.0579,2024-05-20,True,True
DUMMY_NH_405388_000116,Staff,1986-10-17,2024-05-22,,38072.6,38072.6,38072.6,0,0.0,0.0,0.0,2024-05-22,True,False
DUMMY_NH_794182_000117,Staff,2000-08-03,2024-01-23,,45865.4,45865.4,45865.4,3,24000.0,0.0,1375.962,2024-01-23,True,True
DUMMY_NH_887801_000118,Executive,1985-04-14,2024-10-16,,276768.8,276768.8,276768.8,5,24000.0,0.0,8303.063999999998,2024-10-16,True,True
DUMMY_NH_142281_000119,Staff,1992-10-27,2024-07-27,,48063.25,48063.25,48063.25,5,24000.0,0.0,1441.8975,2024-07-27,True,True
DUMMY_NH_404844_000120,Staff,1996-04-08,2024-05-13,,46895.48,46895.48,46895.48,10,24000.0,0.0,1406.8644,2024-05-13,True,True
DUMMY_NH_722111_000121,Staff,2001-10-17,2024-09-22,2024-10-11,42502.82,42502.82,42502.82,6,24000.0,0.0,0.0,2024-09-22,False,True
DUMMY_NH_693945_000122,Staff,1979-06-24,2024-05-23,,43733.1,43733.1,43733.1,10,24000.0,0.0,1311.993,2024-05-23,True,True
DUMMY_NH_551865_000123,Staff,1977-03-05,2024-05-09,,38739.78,38739.78,38739.78,4,24000.0,0.0,1162.1933999999999,2024-05-09,True,True
DUMMY_NH_613886_000124,Staff,1990-06-21,2024-05-20,,62614.84,62614.84,62614.84,10,24000.0,0.0,1878.4451999999999,2024-05-20,True,True
DUMMY_NH_888868_000125,Staff,1996-05-11,2024-07-06,,39953.77,39953.77,39953.77,3,24000.0,0.0,1198.6130999999998,2024-07-06,True,True
DUMMY_NH_558676_000126,Staff,2001-11-10,2024-04-05,,39861.44,39861.44,39861.44,3,24000.0,0.0,1195.8432,2024-04-05,True,True
DUMMY_NH_155097_000127,Staff,1989-10-07,2024-05-18,,48089.38,48089.38,48089.38,6,24000.0,0.0,1442.6814,2024-05-18,True,True
DUMMY_NH_419575_000128,Staff,1963-06-08,2024-11-19,2024-12-19,55817.32,55817.32,55817.32,4,24000.0,0.0,0.0,2024-11-19,False,True
DUMMY_NH_741652_000129,Staff,1974-03-28,2024-08-14,,44023.08,44023.08,44023.08,3,24000.0,0.0,1320.6924,2024-08-14,True,True
DUMMY_NH_755137_000130,Manager,1985-09-04,2024-03-01,,111226.88,111226.88,111226.88,10,24000.0,0.0,3336.8064,2024-03-01,True,True
DUMMY_NH_779375_000131,Staff,1981-06-24,2024-09-03,2024-10-09,50616.6,50616.6,50616.6,3,24000.0,0.0,0.0,2024-09-03,False,True
DUMMY_NH_982644_000132,Staff,1965-02-03,2024-12-20,2024-12-30,57522.6,57522.6,57522.6,1,24000.0,0.0,0.0,2024-12-20,False,True
DUMMY_NH_155291_000133,Staff,1984-12-06,2024-06-08,,47030.68,47030.68,47030.68,5,24000.0,0.0,1410.9204,2024-06-08,True,True
DUMMY_NH_373861_000134,Staff,1978-08-09,2024-06-12,2024-11-19,56844.37,56844.37,56844.37,4,24000.0,0.0,0.0,2024-06-12,False,True
DUMMY_NH_567039_000135,Executive,1991-08-15,2024-10-14,,256821.52,256821.52,256821.52,10,24000.0,0.0,7704.6456,2024-10-14,True,True
DUMMY_NH_749918_000136,Manager,1984-01-21,2024-10-08,2024-11-08,115650.4,115650.4,115650.4,10,24000.0,0.0,0.0,2024-10-08,False,True
DUMMY_NH_147228_000137,Staff,1996-07-28,2024-05-28,,40819.98,40819.98,40819.98,5,24000.0,0.0,1224.5994,2024-05-28,True,True
DUMMY_NH_244636_000138,Manager,1981-01-05,2024-06-17,,77940.4,77940.4,77940.4,8,24000.0,0.0,2338.2119999999995,2024-06-17,True,True
DUMMY_NH_532945_000139,Executive,1970-09-03,2024-04-06,,145654.53,145654.53,145654.53,1,24000.0,0.0,4369.6359,2024-04-06,True,True
DUMMY_NH_290787_000140,Staff,1994-05-19,2024-12-03,2024-12-31,47356.16,47356.16,47356.16,3,24000.0,0.0,0.0,2024-12-03,False,True
DUMMY_NH_637634_000141,Staff,1996-07-03,2024-02-09,,52635.61,52635.61,52635.61,1,24000.0,0.0,1579.0683,2024-02-09,True,True
DUMMY_NH_618079_000142,Executive,1970-03-26,2024-10-15,,247881.76,247881.76,247881.76,10,24000.0,0.0,7436.4528,2024-10-15,True,True
DUMMY_NH_770076_000143,Staff,1994-10-11,2024-03-08,,39743.55,39743.55,39743.55,3,24000.0,0.0,1192.3065000000001,2024-03-08,True,True
DUMMY_NH_642218_000144,Staff,1978-07-06,2024-05-16,,56780.26,56780.26,56780.26,4,24000.0,0.0,1703.4078,2024-05-16,True,True
DUMMY_NH_968794_000145,Staff,1976-09-21,2024-06-21,,45034.43,45034.43,45034.43,0,0.0,0.0,0.0,2024-06-21,True,False
DUMMY_NH_806277_000146,Staff,1989-09-25,2024-08-15,,48775.32,48775.32,48775.32,3,24000.0,0.0,1463.2595999999999,2024-08-15,True,True
DUMMY_NH_111569_000147,Staff,1976-02-23,2024-11-16,2024-11-29,44734.57,44734.57,44734.57,3,24000.0,0.0,0.0,2024-11-16,False,True
DUMMY_NH_741949_000148,Staff,1971-07-25,2024-07-27,,63927.33,63927.33,63927.33,6,24000.0,0.0,1917.8199,2024-07-27,True,True
DUMMY_NH_951976_000149,Manager,1980-01-25,2024-02-18,,112773.99,112773.99,112773.99,4,24000.0,0.0,3383.2197,2024-02-18,True,True
DUMMY_NH_559599_000150,Manager,1977-10-01,2024-12-19,2024-12-20,97920.37,97920.37,97920.37,2,24000.0,0.0,0.0,2024-12-19,False,True
DUMMY_NH_219745_000151,Staff,1980-01-22,2024-11-26,2024-12-13,58507.84,58507.84,58507.84,10,24000.0,0.0,0.0,2024-11-26,False,True
DUMMY_NH_268966_000152,Executive,1992-05-01,2024-09-20,,312894.35,312894.35,312894.35,5,24000.0,0.0,9386.830499999998,2024-09-20,True,True
DUMMY_NH_700920_000153,Manager,1979-10-04,2024-10-10,,157313.45,157313.45,157313.45,0,0.0,0.0,0.0,2024-10-10,True,False
DUMMY_NH_723513_000154,Staff,1967-04-03,2024-05-24,2024-08-05,57263.96,57263.96,57263.96,10,24000.0,0.0,0.0,2024-05-24,False,True
DUMMY_NH_816790_000155,Executive,1983-04-21,2024-05-10,,648365.74,648365.74,355000.0,10,24000.0,0.0,10650.0,2024-05-10,True,True
DUMMY_NH_755661_000156,Staff,2001-03-02,2024-01-28,,39913.17,39913.17,39913.17,4,24000.0,0.0,1197.3951,2024-01-28,True,True
DUMMY_NH_284897_000157,Staff,1973-07-22,2024-04-20,,49579.34,49579.34,49579.34,0,0.0,0.0,0.0,2024-04-20,True,False
DUMMY_NH_749990_000158,Staff,1973-01-26,2024-09-19,,50432.88,50432.88,50432.88,2,24000.0,0.0,1512.9863999999998,2024-09-19,True,True
DUMMY_NH_899575_000159,Staff,1980-01-10,2024-12-06,2024-12-30,50028.91,50028.91,50028.91,10,24000.0,0.0,0.0,2024-12-06,False,True
DUMMY_NH_416032_000160,Staff,1971-02-17,2024-11-07,2024-11-24,51328.12,51328.12,51328.12,3,24000.0,0.0,0.0,2024-11-07,False,True
DUMMY_NH_506431_000161,Manager,1989-03-08,2024-11-11,,106434.53,106434.53,106434.53,3,24000.0,0.0,3193.0359,2024-11-11,True,True
DUMMY_NH_608404_000162,Staff,1984-03-16,2024-11-03,2024-12-12,40253.39,40253.39,40253.39,4,24000.0,0.0,0.0,2024-11-03,False,True
DUMMY_NH_448408_000163,Executive,1964-04-28,2024-06-23,,200729.23,200729.23,200729.23,4,24000.0,0.0,6021.8769,2024-06-23,True,True
DUMMY_NH_152293_000164,Manager,1970-04-10,2024-04-01,,98974.0,98974.0,98974.0,2,24000.0,0.0,2969.22,2024-04-01,True,True
DUMMY_NH_861386_000165,Manager,1993-05-04,2024-09-12,,84699.56,84699.56,84699.56,3,24000.0,0.0,2540.9867999999997,2024-09-12,True,True
DUMMY_NH_241109_000166,Manager,1982-02-04,2024-05-04,,92513.84,92513.84,92513.84,3,24000.0,0.0,2775.4152,2024-05-04,True,True
DUMMY_NH_888475_000167,Staff,1994-11-19,2024-05-28,,54239.82,54239.82,54239.82,0,0.0,0.0,0.0,2024-05-28,True,False
DUMMY_NH_837653_000168,Staff,1987-03-07,2024-07-17,,78680.17,78680.17,78680.17,3,24000.0,0.0,2360.4051,2024-07-17,True,True
DUMMY_NH_698750_000169,Staff,1976-10-14,2024-11-21,2024-12-21,38109.21,38109.21,38109.21,0,0.0,0.0,0.0,2024-11-21,False,False
DUMMY_NH_231960_000170,Manager,1994-02-01,2024-08-27,,71290.16,71290.16,71290.16,3,24000.0,0.0,2138.7048,2024-08-27,True,True
DUMMY_NH_410634_000171,Staff,1973-04-16,2024-02-23,2024-11-16,59468.8,59468.8,59468.8,4,24000.0,0.0,0.0,2024-02-23,False,True
DUMMY_NH_617987_000172,Staff,1985-10-26,2024-12-23,2024-12-30,51255.69,51255.69,51255.69,5,24000.0,0.0,0.0,2024-12-23,False,True
DUMMY_NH_567899_000173,Staff,1978-11-01,2024-06-20,2024-11-05,46190.26,46190.26,46190.26,3,24000.0,0.0,0.0,2024-06-20,False,True
DUMMY_NH_921014_000174,Staff,1985-11-05,2024-12-29,2024-12-31,50025.73,50025.73,50025.73,0,0.0,0.0,0.0,2024-12-29,False,False
